2012-08-20;176.215;
2012-08-21;167.877;
2012-08-22;171.633;
2012-08-23;155.703;
2012-08-24;162.047;
2012-08-25;165.682;
2012-08-26;183.786;
2012-08-27;166.598;
2012-08-28;161.350;
2012-08-29;152.542;
2012-08-30;156.677;
2012-08-31;157.459;
2012-09-01;155.651;
2012-09-02;111.929;
2012-09-03;168.494;
2012-09-04;164.429;
2012-09-05;156.433;
2012-09-06;162.957;
2012-09-07;149.395;
2012-09-08;153.570;
2012-09-09;155.517;
2012-09-10;174.873;
2012-09-11;176.312;
2012-09-12;167.974;
2012-09-13;154.852;
2012-09-14;205.512;
2012-09-15;159.653;
2012-09-16;133.891;
2012-09-17;172.551;
2012-09-18;202.512;
2012-09-19;155.495;
2012-09-20;149.567;
2012-09-21;176.355;
2012-09-22;173.530;
2012-09-23;152.355;
2012-09-24;168.399;
2012-09-25;169.940;
2012-09-26;150.316;
2012-09-27;136.968;
2012-09-28;142.460;
2012-09-29;154.873;
2012-09-30;103.733;
2012-10-01;159.171;
2012-10-02;227.352;
2012-10-03;238.529;
2012-10-04;208.420;
2012-10-05;113.500;
2012-10-06;162.286;
2012-10-07;139.676;
2012-10-08;145.607;
2012-10-09;175.674;
2012-10-10;239.098;
2012-10-11;237.406;
2012-10-12;217.589;
2012-10-13;123.577;
2012-10-14;166.318;
2012-10-15;163.900;
2012-10-16;142.309;
2012-10-17;159.922;
2012-10-18;172.040;
2012-10-19;191.329;
2012-10-20;155.984;
2012-10-21;162.809;
2012-10-22;149.459;
2012-10-23;146.004;
2012-10-24;174.088;
2012-10-25;81.349;
2012-10-26;242.253;
2012-10-27;194.142;
2012-10-28;58.214;
2012-10-29;23.891;
2012-10-30;119.562;
2012-10-31;118.253;
2012-11-01;149.010;
2012-11-02;132.333;
2012-11-03;161.124;
2012-11-04;150.021;
2012-11-05;147.499;
2012-11-06;154.226;
2012-11-07;124.350;
2012-11-08;155.864;
2012-11-09;154.308;
2012-11-10;153.873;
2012-11-11;141.009;
2012-11-12;176.058;
2012-11-13;170.301;
2012-11-14;158.841;
2012-11-15;163.992;
2012-11-16;169.005;
2012-11-17;165.594;
2012-11-18;126.801;
2012-11-19;153.480;
2012-11-20;166.794;
2012-11-21;204.197;
2012-11-22;195.202;
2012-11-23;162.312;
2012-11-24;162.370;
2012-11-25;141.661;
2012-11-26;159.580;
2012-11-27;182.013;
2012-11-28;189.438;
2012-11-29;164.015;
2012-11-30;153.704;
2012-12-01;132.378;
2012-12-02;145.812;
2012-12-03;165.919;
2012-12-04;133.284;
2012-12-05;163.462;
2012-12-06;148.739;
2012-12-06;164.633;
2012-12-08;146.499;
2012-12-09;154.824;
2012-12-10;146.571;
2012-12-11;96.309;
2012-12-12;136.638;
2012-12-13;147.264;
2012-12-14;164.250;
2012-12-15;165.352;
2012-12-16;201.847;
2012-12-17;184.814;
2012-12-18;193.858;
2012-12-19;147.414;
2012-12-20;155.358;
2012-12-21;136.646;
2012-12-22;140.015;
2012-12-23;135.149;
2012-12-24;133.187;
2012-12-25;139.025;
2012-12-26;146.901;
